Data set,Study,Journal,Raptor order,Raptor family,Raptor genus,Raptor scientific name,Raptor common name,Continent,Country,Latitude (decimal degree),Longitude (decimal degree),Habitat,Season,Pellets,Prey remains,Observations,DNA,Body mass (g) (EltonTraits),Num_obs,,Notes
1,Jaksić and Yáñez 1979,Auk,Strigiformes,Tytonidae,Tyto,Tyto alba,Barn Owl,South America,Chile,-33.675,-71.0417,Unspecified,Unspecified,X,,,,403.32,1348,,
2,Bosè and Guidali 2001,J Raptor Res,Strigiformes,Tytonidae,Tyto,Tyto alba,Barn Owl,Europe,Italy,45.364001,10.438801,Unspecified,Winter,X,,,,403.32,876,,
3,Bosè and Guidali 2001,J Raptor Res,Strigiformes,Tytonidae,Tyto,Tyto alba,Barn Owl,Europe,Italy,45.364001,10.438801,Unspecified,Spring,X,,,,403.32,521,,
4,Bosè and Guidali 2001,J Raptor Res,Strigiformes,Tytonidae,Tyto,Tyto alba,Barn Owl,Europe,Italy,45.364001,10.438801,Unspecified,Summer,X,,,,403.32,2578,,
5,Bosè and Guidali 2001,J Raptor Res,Strigiformes,Tytonidae,Tyto,Tyto alba,Barn Owl,Europe,Italy,45.364001,10.438801,Unspecified,Fall,X,,,,403.32,799,,
6,Cava et al. 2012,The Wilson J of Ornthilo.,Acciptriformes,Acciptridae,Accipiter,Accipiter cooperii,Cooper's Hawk,North America,Canada,48.435,-123.366,"urban area,Victoria",Nestling,,X,,,429.67,3173,,
7,Meng Heinz 1959,The Wilson Bulletin,Acciptriformes,Acciptridae,Accipiter,Accipiter cooperii,Cooper's Hawk,North America,USA,42.445,-76.498,unspecified,unspecified,X,X,,,429.67,853,,
8,Meng Heinz 1959,The Wilson Bulletin,Acciptriformes,Acciptridae,Accipiter,Accipiter gentilis,Northern Goshawk,North America,USA,41.999,-76.638,unspecified,unspecified,X,X,,,866.04,185,,
9,Estes and Mannan 2003,The Condor,Acciptriformes,Acciptridae,Accipiter,Accipiter cooperii,Cooper's Hawk,North America,USA,32.21667,110.91667,urban,Summer(April-July),,X,X,,429.67,151,,
10,Estes and Mannan 2003,The Condor,Acciptriformes,Acciptridae,Accipiter,Accipiter cooperii,Cooper's Hawk,North America,USA,32.21667,110.91667,rural,Summer(April-July),,X,X,,429.67,77,,
11,Kennedy and Johnson 1986,The Wilson Bulletin,Acciptriformes,Acciptridae,Accipiter,Accipiter cooperii,Cooper's Hawk,North America,USA,48.494,-122.897,unspecified,Nestling,,,X,,429.67,110,,
12,Roth and Lima 2003,The Condor,Acciptriformes,Acciptridae,Accipiter,Accipiter cooperii,Cooper's Hawk,North America,USA,39.463,-87.383,urban,winter,,X,X,,429.67,57,,
13,Bonner and Geluso 2010,Prairie Naturalist,Strigiformes,Tytonidae,Tyto,Tyto alba,Barn Owl,North America,USA,41.9275,102.4991667,"Prairie, scattered trees",Summer,X,,,,403.32,362,,
14,Bonner and Geluso 2010,Prairie Naturalist,Strigiformes,Strigidae,Bubo,Bubo virginianus,Great Horned Owl,North America,USA,41.9275,102.4991667,"Prairie, scattered trees",Summer,X,,,,1575.7,73,,
15,Collopy 1983,The Journal of Wildlife Management,Acciptriformes,Acciptridae,Aquila,Aquila chrysaetos,Golden Eagle,North America,USA,43.094,-116.042,semidesert scrub,Brood Rearing,,X,X,,4247.97,616,,
16,DeLong et al 2013,Condor,Acciptriformes,Acciptridae,Accipiter,Accipiter striatus,Sharp-shinned Hawk,North America,USA,34.7,106.4,Forest,Fall migration,,,,X,130.59,48,,
17,US Dept. of Interior 1979,NA,Acciptriformes,Acciptridae,Aquila,Aquila chrysaetos,Golden Eagle,North America,USA,43.094,-116.042,semidesert scrub,Brood Rearing,,X,,,4247.97,2915,,
